timestamp (ms);packet no.;rssi;satellites;longitude (Á);latitude (Á);altitude (m);temperature (decy ÁC);pressure (Pa);humidity (%)
2579;1;-57;3;21.066465;52.50248;-38;418;101508.77;10
7580;2;-57;3;21.06645;52.502434;-38;417;101496.28;10
12583;3;-55;3;21.066378;52.502502;-38;418;101506.81;10
17584;4;-56;3;21.066536;52.502453;-38;418;101501.58;10
22586;5;-56;3;21.067129;52.502354;-38;418;101504.38;10
27590;6;-57;3;21.066723;52.502415;-38;417;101501.91;10
32591;7;-57;3;21.066635;52.502361;-38;418;101501.67;10
37593;8;-58;3;21.066578;52.502422;-38;417;101501.91;10
42595;9;-57;3;21.066553;52.502457;-38;418;101501.8;10
47597;10;-55;3;21.066614;52.502403;-38;417;101500.67;10
52599;11;-57;3;21.066195;52.502598;-38;418;101500.97;10
57601;12;-54;3;21.066402;52.502495;-38;418;101508.16;10
62605;13;-63;3;21.066542;52.502457;-38;419;101508.92;10
67608;14;-64;3;21.066681;52.502422;-38;419;101505.61;10
72610;15;-62;3;21.066452;52.502522;-38;417;101499.84;10
77613;16;-62;3;21.066547;52.502495;-38;417;101505.45;10
82616;17;-62;3;21.066704;52.502472;-38;417;101501.77;10
87618;18;-64;3;21.066565;52.502514;-38;417;101501.38;10
92622;19;-61;3;21.066496;52.502491;-38;417;101500.45;10
97624;20;-62;3;21.066826;52.502483;-38;416;101505.28;10
102626;21;-62;3;21.066862;52.502384;-38;417;101509.36;10
107629;22;-61;3;21.067034;52.502331;-38;417;101509.09;10
112632;23;-61;3;21.066969;52.502388;-38;419;101507.32;10
117634;24;-62;3;21.066839;52.502468;-38;417;101504.09;10
122638;25;-61;3;21.066746;52.502487;-38;418;101503.64;10
127640;26;-60;3;21.066643;52.502476;-38;418;101498.03;10
132643;27;-62;3;21.066961;52.502399;-38;419;101500.86;10
137645;28;-61;3;21.066895;52.50243;-38;418;101499.61;10
142649;29;-62;3;21.066746;52.502445;-38;418;101500.09;10
147651;30;-60;3;21.06712;52.502338;-38;416;101497.58;10
152654;31;-60;3;21.066816;52.502403;-38;416;101498.84;10
157657;32;-61;3;21.066633;52.50246;-38;415;101505.7;10
162660;33;-60;3;21.066574;52.502506;-38;415;101497.14;11
167663;34;-61;3;21.06674;52.502438;-38;415;101502.27;10
172667;35;-59;3;21.066872;52.502373;-38;415;101502.67;10
177668;36;-60;3;21.066751;52.502445;-38;415;101501.41;11
182671;37;-59;3;21.066978;52.502323;-38;417;101495.55;10
187674;38;-60;3;21.066795;52.502419;-38;418;101502.9;10
192678;39;-60;3;21.066772;52.502441;-38;417;101496.16;10
197679;40;-59;3;21.066751;52.502399;-38;418;101502.55;10
202684;41;-59;3;21.066681;52.502453;-38;418;101501.58;10
212687;42;-59;3;21.067125;52.502403;-38;419;101500.98;10
217690;43;-59;3;21.067106;52.502399;-38;418;101506.58;10
222692;44;-60;3;21.066765;52.502583;-38;418;101501.67;10
227694;45;-59;3;21.066786;52.502491;-38;417;101487.34;10
232696;46;-60;3;21.066231;52.502518;-38;418;101503.64;10
237699;47;-59;3;21.066923;52.502483;-38;417;101505.81;10
242702;48;-60;3;21.0667;52.502522;-38;419;101501.09;10
247706;49;-59;3;21.06707;52.502495;-38;418;101500.58;10
252708;50;-59;3;21.066925;52.502468;-38;417;101490.55;10
257713;51;-60;3;21.066639;52.502575;-38;418;101499.61;10
262715;52;-60;3;21.066942;52.50243;-38;419;101497.57;10
267718;53;-59;3;21.066694;52.502415;-38;419;101499.99;10
272722;54;-59;3;21.066841;52.502441;-38;419;101499.16;10
277726;55;-59;3;21.067192;52.502422;-38;418;101496.8;10
282729;56;-60;3;21.06772;52.502403;-38;419;101499.99;10
287731;57;-60;3;21.067556;52.502316;-38;418;101498.99;10
292735;58;-59;3;21.06646;52.502647;-38;418;101503.64;10
297738;59;-59;3;21.066971;52.502373;-38;418;101503.77;10
302743;60;-59;3;21.066954;52.502396;-38;419;101497.19;10
307745;61;-60;3;21.066954;52.502426;-38;419;101501.22;10
312750;62;-60;3;21.067202;52.502468;-38;420;101504.72;10
317752;63;-59;3;21.067141;52.502419;-38;419;101499.16;10
322756;64;-59;3;21.067072;52.502422;-38;419;101505.61;10
327759;65;-59;3;21.067307;52.502327;-38;419;101509.91;10
332763;66;-59;3;21.066813;52.502525;-38;419;101502.47;10
337767;67;-60;3;21.066916;52.502434;-38;420;101501.38;10
342771;68;-59;3;21.067177;52.502438;-38;419;101505.12;10
347774;69;-60;3;21.067463;52.502377;-38;419;101496.34;10
352778;70;-59;3;21.067301;52.502361;-38;419;101504.02;10
357782;71;-58;3;21.067591;52.50235;-38;420;101505.89;10
362785;72;-60;3;21.067141;52.502556;-38;419;101506.83;10
367788;73;-59;3;21.067364;52.502434;-38;419;101500.38;10
372792;74;-59;3;21.067024;52.502594;-38;419;101506.22;10
377796;75;-59;3;21.066881;52.502476;-38;418;101497.06;10
382800;76;-59;3;21.067215;52.502403;-38;419;101498.89;10
387804;77;-59;3;21.067144;52.502426;-38;419;101498.89;10
392808;78;-58;3;21.067101;52.502419;-38;419;101499.16;10
397813;79;-58;3;21.06669;52.502594;-38;419;101504.52;10
402815;80;-59;3;21.067106;52.502541;-38;419;101496.86;10
407819;81;-59;3;21.067022;52.502445;-38;419;101492.56;10
412824;82;-59;3;21.06679;52.502502;-38;419;101493.89;10
417827;83;-59;3;21.067209;52.502468;-38;417;101495.06;10
422831;84;-60;3;21.067099;52.502483;-38;418;101499.48;10
427836;85;-60;3;21.067209;52.502522;-38;419;101491.56;10
432839;86;-59;3;21.067131;52.502415;-38;419;101499.99;10
437844;87;-60;3;21.066992;52.502541;-38;418;101494.86;10
442847;88;-60;3;21.067194;52.502483;-38;417;101496.28;10
447851;89;-60;3;21.067028;52.502415;-38;417;101495.94;10
452855;90;-60;3;21.066689;52.502563;-38;419;101497.19;10
457858;91;-59;3;21.067087;52.502312;-38;418;101497.67;10
462861;92;-60;3;21.067255;52.502468;-38;418;101497.45;10
467866;93;-59;3;21.067396;52.502384;-38;418;101500.48;10
472868;94;-59;3;21.067181;52.502445;-38;419;101494.16;10
477872;95;-59;3;21.067165;52.502357;-38;418;101503.06;10
482876;96;-59;3;21.067247;52.502323;-38;419;101502.8;10
487880;97;-59;3;21.066973;52.502457;-38;419;101498.28;10
492883;98;-59;3;21.066813;52.502567;-38;419;101499.99;10
497886;99;-60;3;21.066912;52.502419;-38;419;101497.7;10
502890;100;-59;3;21.067297;52.502235;-38;419;101501.7;10
507894;101;-60;3;21.06682;52.502396;-38;419;101501.86;10
512898;102;-60;3;21.067104;52.502377;-38;419;101495.15;10
517902;103;-60;3;21.067532;52.502285;-38;418;101498.77;10
522905;104;-59;3;21.067324;52.502346;-38;419;101498.19;10
527909;105;-59;3;21.066895;52.502525;-38;419;101500.98;10
532913;106;-59;3;21.06757;52.5023;-38;419;101502.47;10
537917;107;-60;3;21.067196;52.502415;-38;419;101501.09;10
542921;108;-59;3;21.067438;52.502323;-38;419;101504.77;10
547925;109;-59;3;21.067312;52.502331;-38;419;101501.22;10
552927;110;-60;3;21.067102;52.502468;-38;419;101496.34;10
557930;111;-60;3;21.066967;52.502445;-38;418;101498.38;10
562935;112;-60;3;21.067133;52.502438;-38;418;101492.41;10
567938;113;-60;3;21.067375;52.502369;-38;417;101493.48;10
572942;114;-60;3;21.067657;52.502354;-38;418;101495.22;10
577946;115;-60;3;21.067669;52.502369;-38;418;101495.34;10
582950;116;-61;3;21.068087;52.502262;-38;418;101494.86;10
587953;117;-61;3;21.067732;52.502323;-38;418;101499.38;10
592958;118;-62;3;21.067715;52.502335;-38;419;101497.8;10
597961;119;-61;3;21.067549;52.502247;-38;419;101496.95;10
602964;120;-61;3;21.067654;52.502338;-38;420;101498.56;10
607969;121;-61;3;21.067516;52.502354;-38;417;101491.77;10
612973;122;-62;3;21.06728;52.502354;-38;417;101492.87;10
617976;123;-61;3;21.067432;52.502422;-38;418;101495.83;10
622982;124;-62;3;21.067902;52.502224;-38;418;101493.99;10
627986;125;-61;3;21.067533;52.502365;-38;418;101489.34;10
632990;126;-62;3;21.067539;52.502365;-38;418;101494.12;10
637994;127;-61;3;21.067167;52.50243;-38;417;101488.96;10
642997;128;-62;3;21.06686;52.502567;-38;418;101497.45;10
648002;129;-61;3;21.067022;52.502506;-38;418;101488.51;10
653007;130;-61;3;21.067268;52.502472;-38;419;101487.92;10
658010;131;-61;3;21.066805;52.502636;-38;420;101493.3;10
663015;132;-61;3;21.067772;52.502293;-38;420;101488.97;10
668020;133;-61;3;21.067987;52.502323;-38;420;101494.66;10
673023;134;-61;3;21.067253;52.502518;-38;419;101485.62;10
678026;135;-62;3;21.06764;52.502365;-38;418;101493.77;10
683032;136;-61;3;21.067327;52.502449;-38;417;101491.77;10
688036;137;-60;3;21.067711;52.502266;-38;417;101488.84;10
693039;138;-61;3;21.067253;52.502415;-38;418;101490.45;10
698043;139;-61;3;21.067322;52.502377;-38;418;101491.93;10
703047;140;-61;3;21.067883;52.502213;-38;417;101495.06;10
708053;141;-61;3;21.067181;52.502426;-38;417;101489.45;10
713057;142;-61;3;21.067484;52.50227;-38;419;101492.18;10
718060;143;-62;3;21.06743;52.50235;-38;418;101496.45;10
723066;144;-61;3;21.067276;52.502544;-38;418;101490.83;10
728069;145;-61;3;21.067467;52.50235;-38;418;101492.05;10
733073;146;-61;3;21.06772;52.502342;-38;418;101495.96;10
738079;147;-62;3;21.067804;52.502262;-38;419;101487.44;10
743082;148;-61;3;21.067112;52.502533;-38;420;101497.81;10
748087;149;-62;3;21.066875;52.502537;-38;419;101491.69;10
753092;150;-63;3;21.067694;52.502296;-38;420;101494.4;10
758096;151;-61;3;21.067112;52.502396;-38;419;101490.25;10
763100;152;-61;3;21.06744;52.502335;-38;420;101490.27;10
768106;153;-61;3;21.067137;52.502567;-38;420;101491.85;10
773110;154;-62;3;21.066341;52.502689;-38;420;101492.69;10
778114;155;-61;3;21.066292;52.502811;-38;419;101494.77;10
783117;156;-61;3;21.066668;52.502705;-38;419;101495.38;10
788121;157;-61;3;21.067297;52.502537;-38;418;101488.02;10
793126;158;-61;3;21.067133;52.502548;-38;420;101491.36;10
798131;159;-60;3;21.067526;52.50246;-38;419;101493.44;10
803138;160;-62;3;21.067503;52.502316;-38;419;101489.38;10
808140;161;-61;3;21.067966;52.502388;-38;418;101493.64;10
813144;162;-61;3;21.068098;52.502159;-38;418;101489.12;10
818149;163;-60;3;21.068293;52.502125;-38;418;101496.19;10
823153;164;-61;3;21.067928;52.502285;-38;420;101496.98;10
828157;165;-60;3;21.067942;52.502178;-38;420;101495.5;10
833160;166;-61;3;21.068081;52.502163;-38;420;101496.11;10
838164;167;-60;3;21.067755;52.502312;-38;419;101494.27;10
843168;168;-61;3;21.067268;52.502617;-38;419;101491.34;10
848173;169;-61;3;21.066376;52.502827;-38;419;101495.59;10
853175;170;-61;3;21.067354;52.502434;-38;420;101496.38;10
858181;171;-61;3;21.067183;52.502563;-38;420;101489.8;10
863185;172;-61;3;21.066965;52.502625;-38;421;101488.6;10
868190;173;-60;3;21.067484;52.502499;-38;420;101493.07;10
873194;174;-61;3;21.067905;52.5023;-38;421;101493.23;10
878198;175;-61;3;21.067921;52.502228;-38;420;101496.52;10
883201;176;-60;3;21.068121;52.50219;-38;420;101495.5;10
888205;177;-60;3;21.068132;52.502235;-38;418;101486.8;10
893211;178;-61;3;21.068159;52.50222;-38;418;101496.19;10
898215;179;-61;3;21.068611;52.502285;-38;418;101489.25;10
903220;180;-61;3;21.068329;52.502113;-38;419;101490.47;10
908224;181;-61;3;21.068159;52.502205;-38;418;101498.77;10
913230;182;-61;3;21.067963;52.502304;-38;418;101493.16;10
918235;183;-61;3;21.068155;52.502182;-38;418;101493.87;10
923239;184;-60;3;21.067751;52.502365;-38;418;101493.64;10
928244;185;-62;3;21.067883;52.502296;-38;418;101489.25;10
933248;186;-60;3;21.068293;52.502247;-38;418;101495.96;10
938254;187;-61;3;21.06785;52.502354;-38;417;101486.9;10
943259;188;-60;3;21.068197;52.502274;-38;417;101486.9;10
948264;189;-61;3;21.068003;52.502331;-38;417;101488.96;10
953268;190;-60;3;21.068115;52.502239;-38;417;101489.93;10
958272;191;-61;3;21.067373;52.502579;-38;418;101484.61;10
963276;192;-61;3;21.066818;52.502762;-38;419;101488.77;10
968281;193;-62;3;21.066605;52.502708;-38;419;101489.86;10
973285;194;-61;3;21.067202;52.50248;-38;419;101489.98;10
978289;195;-61;3;21.067631;52.502197;-38;420;101494.4;10
983294;196;-62;3;21.067623;52.5023;-38;417;101493.48;10
988297;197;-61;3;21.067953;52.50235;-38;416;101485.73;10
993302;198;-62;3;21.067751;52.502254;-38;416;101488.54;10
998307;199;-61;3;21.067909;52.502209;-38;416;101486.19;10
1003310;200;-62;3;21.068136;52.502186;-38;416;101489.55;10
1008313;201;-61;3;21.067953;52.502132;-38;417;101488.34;10
1013319;202;-62;3;21.068409;52.502174;-38;418;101496.58;10
1018322;203;-62;3;21.067919;52.502178;-38;418;101493.99;10
