timestamp (ms);packet no.;rssi;satellites;longitude (¡);latitude (¡);altitude (m);temperature (decy ¡C);pressure (Pa);humidity (%)
4625;1;-123;3;21.067984;52.503036;99;437;101295.8;8
9628;2;-122;3;21.06776;52.503063;99;437;101295.8;8
14631;3;-117;3;21.067581;52.503071;99;437;101300.3;8
24638;4;-124;3;21.067579;52.503052;99;437;101296.12;8
29643;5;-110;3;21.067724;52.50301;99;437;101298.63;8
3277;1;-111;3;21.068186;52.502918;99;436;101305.77;8
8277;2;-109;3;21.068186;52.502903;99;436;101300.59;8
13277;3;-110;3;21.068178;52.502884;99;437;101293.96;8
18277;4;-110;3;21.068081;52.502888;99;438;101295.63;8
23279;5;-65;3;21.067938;52.502892;99;438;101300.48;7
28282;6;-68;3;21.068073;52.50288;99;437;101299.47;8
33284;7;-107;3;21.068146;52.502876;99;437;101300.97;8
38285;8;-117;3;21.068209;52.502872;99;437;101305.98;8
409920;1;-86;0;0;0;0;278;100862.27;33
415918;2;-92;0;0;0;0;289;100872.73;41
421917;3;-94;0;0;0;0;309;100864.3;47
427917;4;-87;0;0;0;0;315;100865.22;57
433916;5;-85;0;0;0;0;320;100876.09;64
439916;6;-94;0;0;0;0;329;100878.23;72
445916;7;-88;0;0;0;0;334;100867.49;43
451916;8;-92;0;0;0;0;337;100877.19;30
457915;9;-83;0;0;0;0;342;100870.22;50
463915;10;-95;0;0;0;0;348;100860.06;28
469914;11;-91;0;0;0;0;354;100858.95;37
475914;12;-88;0;0;0;0;360;100861.05;38
481913;13;-98;0;0;0;0;363;100861.2;30
487913;14;-116;0;0;0;0;369;100880.75;24
493912;15;-121;0;0;0;0;362;100861.81;22
499911;16;-119;0;0;0;0;360;100865.25;23
505910;17;-123;0;0;0;0;370;100886.31;22
511909;18;-122;0;0;0;0;376;100888.31;20
517908;19;-120;0;0;0;0;385;100894.01;19
522681;20;-123;3;21.065151;52.504181;-38;390;100890.48;18
525568;21;-118;3;21.065197;52.504143;-38;396;100896.28;18
530566;22;-122;3;21.065212;52.504147;-38;396;100892;18
535564;23;-119;3;21.065224;52.504143;-38;391;100884.66;19
540162;24;-118;6;21.065994;52.504269;101;394;100891;18
545161;25;-122;6;21.065996;52.504265;102;399;100886.39;18
550168;26;-122;8;21.065996;52.504265;103;401;100889.66;17
555168;27;-124;8;21.065996;52.504265;103;404;100890.19;16
560166;28;-121;8;21.065996;52.504265;103;404;100889.03;16
565165;29;-122;8;21.065996;52.504265;103;408;100895.42;16
570165;30;-123;8;21.065996;52.504265;103;410;100892.44;16
575163;31;-120;8;21.065996;52.504265;102;412;100892.95;16
580162;32;-122;8;21.065996;52.504265;102;417;100896.08;15
585162;33;-119;8;21.065996;52.504265;102;418;100898.14;15
590160;34;-117;8;21.065996;52.504261;102;418;100897.96;16
595158;35;-120;8;21.065996;52.504261;102;420;100893.21;16
600156;36;-116;8;21.065996;52.504261;102;425;100897.21;15
605154;37;-117;8;21.065996;52.504261;102;426;100894.24;15
610153;38;-121;8;21.065996;52.504261;102;428;100895.23;14
615154;39;-123;8;21.065996;52.504261;102;428;100901.57;14
620151;40;-118;8;21.065996;52.504261;102;429;100895.78;14
625149;41;-119;8;21.065996;52.504261;102;431;100901.92;14
630148;42;-123;8;21.065996;52.504261;102;433;100898.92;14
635146;43;-120;8;21.065996;52.504261;102;436;100902.7;14
640146;44;-121;8;21.065996;52.504257;102;438;100896.45;14
645144;45;-118;8;21.065996;52.504257;102;441;100894.98;14
650142;46;-122;8;21.065996;52.504257;102;440;100897.71;14
655140;47;-121;8;21.065996;52.504257;102;444;100896.5;14
660139;48;-121;8;21.065996;52.504257;102;446;100892.33;13
665138;49;-124;8;21.065996;52.504257;102;449;100895.47;13
670136;50;-122;8;21.065996;52.504257;102;451;100902.77;13
675135;51;-122;8;21.065996;52.504257;102;446;100898.36;13
680132;52;-121;8;21.065996;52.504257;102;437;100899.19;14
685131;53;-121;8;21.065996;52.504257;102;437;100898.16;14
690130;54;-121;8;21.065996;52.504253;102;443;100897.19;13
695130;55;-120;8;21.065996;52.504253;102;444;100898.34;13
